,name,release_year,length,movie_rate,rating
0,1. The Shawshank Redemption,1994,2h 22m,R,9.3 (2.9M)
1,2. The Godfather,1972,2h 55m,R,9.2 (2M)
2,3. The Dark Knight,2008,2h 32m,PG-13,9.0 (2.8M)
3,4. The Godfather Part II,1974,3h 22m,R,9.0 (1.4M)
4,5. 12 Angry Men,1957,1h 36m,Approved,9.0 (857K)
5,6. Schindler's List,1993,3h 15m,R,9.0 (1.4M)
6,7. The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0 (2M)
7,8. Pulp Fiction,1994,2h 34m,R,8.9 (2.2M)
8,9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9 (2M)
9,10. Dune: Part Two,2024,2h 46m,PG-13,9.0 (136K)
10,"11. The Good, the Bad and the Ugly",1966,2h 58m,Approved,8.8 (806K)
11,12. Forrest Gump,1994,2h 22m,PG-13,8.8 (2.2M)
12,13. The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8 (1.8M)
13,14. Fight Club,1999,2h 19m,R,8.8 (2.3M)
14,15. Inception,2010,2h 28m,PG-13,8.8 (2.5M)
15,16. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7 (1.4M)
16,17. The Matrix,1999,2h 16m,R,8.7 (2M)
17,18. Goodfellas,1990,2h 25m,R,8.7 (1.2M)
18,19. One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7 (1.1M)
19,20. Se7en,1995,2h 7m,R,8.6 (1.8M)
20,21. It's a Wonderful Life,1946,2h 10m,PG,8.6 (497K)
21,22. Interstellar,2014,2h 49m,PG-13,8.7 (2.1M)
22,23. Seven Samurai,1954,3h 27m,Not Rated,8.6 (365K)
23,24. The Silence of the Lambs,1991,1h 58m,R,8.6 (1.5M)
24,25. Saving Private Ryan,1998,2h 49m,R,8.6 (1.5M)
25,26. City of God,2002,2h 10m,R,8.6 (796K)
26,27. Life Is Beautiful,1997,1h 56m,PG-13,8.6 (739K)
27,28. The Green Mile,1999,3h 9m,R,8.6 (1.4M)
28,29. Terminator 2: Judgment Day,1991,2h 17m,R,8.6 (1.2M)
29,30. Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6 (1.4M)
30,31. Back to the Future,1985,1h 56m,PG,8.5 (1.3M)
31,32. Spirited Away,2001,2h 5m,PG,8.6 (840K)
32,33. The Pianist,2002,2h 30m,R,8.5 (904K)
33,34. Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.6 (353K)
34,35. Parasite,2019,2h 12m,R,8.5 (943K)
35,36. Psycho,1960,1h 49m,R,8.5 (714K)
36,37. Gladiator,2000,2h 35m,R,8.5 (1.6M)
37,38. The Lion King,1994,1h 28m,G,8.5 (1.1M)
38,39. Léon: The Professional,1994,1h 50m,R,8.5 (1.2M)
39,40. The Departed,2006,2h 31m,R,8.5 (1.4M)
40,41. American History X,1998,1h 59m,R,8.5 (1.2M)
41,42. Whiplash,2014,1h 46m,R,8.5 (976K)
42,43. The Prestige,2006,2h 10m,PG-13,8.5 (1.4M)
43,44. Grave of the Fireflies,1988,1h 29m,Not Rated,8.5 (307K)
44,45. Harakiri,1962,2h 13m,Not Rated,8.6 (67K)
45,46. The Usual Suspects,1995,1h 46m,R,8.5 (1.1M)
46,47. Casablanca,1942,1h 42m,PG,8.5 (603K)
47,48. The Intouchables,2011,1h 52m,R,8.5 (922K)
48,49. Cinema Paradiso,1988,2h 54m,PG,8.5 (281K)
49,50. Modern Times,1936,1h 27m,G,8.5 (258K)
50,51. Rear Window,1954,1h 52m,PG,8.5 (519K)
